Latitude,Longitude,Name,Times recommended,Recommended by,Rating,Reviews,Category,Google category,Notes,Website
43.2994499,5.386065599999999,Le Mounguy,1,Tatiana,4.6,203,Wine Bar,Bar,,https://www.facebook.com/lemounguy/
43.2943674,5.3830168,MAMS,1,Tatiana,4.9,384,Dinner,Restaurant,,
43.3002602,5.3865275,Bar O'Thierry,1,Tatiana,3.8,79,Wine Bar,Bar,,
43.2947156,5.3827035,LA MURISSERIE ASSOCIATION,1,Tatiana,4.6,63,Dinner,Restaurant,,https://lamurisserie.fr/
43.2992547,5.3844055,Robato,1,Tatiana,4.5,289,Dinner,Restaurant,,https://robato-ramen.fr/
43.2918809,5.3839587,La Merveilleuse,1,Tatiana,4.3,134,Wine Bar,Bar,,https://www.instagram.com/lamerveilleusebar
43.2952661,5.3832626,OLAB Photo,1,Tatiana,5,341,Other,Good film development spot,,https://www.olabphoto.com/
43.2960976,5.386921999999999,BAR TABAC M'Chached Driss,1,Tatiana,3.6,35,Wine Bar,Bar,,
43.28301270000001,5.350228,LOULOU MONSIEUR GLACE,1,Tatiana,4.4,250,Other,,,https://louloumonsieurglace.com/
43.2921063,5.385269099999999,Caterine,1,Tatiana,4.3,437,Dinner,Restaurant,,https://www.facebook.com/caterine.mrs/
43.2943746,5.3876326,L'Art Haché,1,Tatiana,3.8,109,Wine Bar,Bar,,
43.2991995,5.3651449,Terrain de Pétanque La Major,1,Tatiana,5,10,Other,Good for pétanque,,https://www.marseille.fr/sports-loisirs/equipements-sportifs/equipements-sportifs-en-libre-acces
43.2943345,5.358262799999999,Palais du Pharo,1,Tatiana,4.7,4180,Transport,Cute spot to watch boats,,https://palaisdupharo.marseille.fr/
43.2946371,5.3805517,RESSOURCERIE de NOAILLES,1,Tatiana,4.5,29,Other,,,
43.2320297,5.4005863,Sormiou,1,Tatiana,,,Other,Neighborhood,,
43.2937394,5.385078699999999,L'Eléphant Rose à Pois Blancs,1,Tatiana,4.6,901,Coffee / Lunch,Cafe,,
43.292587,5.3793815,Atelier 5,1,Tatiana,5,37,Shop,Jewelry Store,,
43.275017,5.304357,Le Frioul,1,Tatiana,4.6,549,Beach / Swim,Natural Feature,,
43.3102867,5.3871158,Le Couvent,1,Tatiana,4.6,450,Other,,,https://www.le-couvent.org/
43.2912608,5.4237592,Le Talus,1,Tatiana,4.8,105,Wine Bar,Bar,,https://www.letalus.com/
43.300832,5.3881077,Coeur de Chineur brocante friperie,1,Tatiana,5,140,Shop,Clothing Store,"Nice guy, cheap",https://www.instagram.com/coeurdechineur/
43.3007174,5.3839435,Nihao,1,Tatiana,4.8,428,Dinner,Restaurant,Korean chicken is fave,
43.2828173,5.3504219,La Vallée du Liban,1,Tatiana,4.3,383,Dinner,Restaurant,Good sandwiches,
43.3028527,5.3705561,C.I.R.V.A Glass and Plastic Arts,1,Tatiana,4.7,41,Culture,Art center,,http://www.cirva.fr/
43.295441,5.3858701,Au Petit Nice,1,Tatiana,4.3,1580,Wine Bar,Bar,,https://m.facebook.com/pages/Au-Petit-Nice/122411584503180
43.2941174,5.3868396,Le Traquenard,1,Tatiana,4.2,183,Wine Bar,Bar,,
43.2915848,5.371613099999999,Vertigo Bar,1,Georgie,4.6,278,Nightlife,Bar,Bar.,https://www.vertigomarseille.com/
43.2152867,5.3465699,Les Goudes,1,Cara,,,Beach / Swim,Neighborhood,Boat trip out — lovely beaches.,
43.2098019,5.527495699999999,Nudist Beach (Oscar's pin),1,Oscar,4.2,106,Beach / Swim,Tourist Attraction,Oscar's saved pin (naturist calanque beach).,
43.215134,5.53712,Cassis,1,Tom,,,Town / Area,Locality,Gorgeous town not too far away — worth a day trip.,
43.2960745,5.3739954,Vieux-Port (Old Port),1,Tom,,,Town / Area,Neighborhood,Always vibey — tourist hotspot but worth it.,
